pairs/category,pairs/pairID,pairs/pairLevel,pairs/video1,pairs/video1Level,pairs/video2,pairs/video2Level
Comedy,0,viral-high,7288016476928216363,viral,7295114410094382369,high
Comedy,1,viral-high,7291024363799760171,high,7288016476928216363,viral
Comedy,2,viral-high,7288016476928216363,viral,7305554824894926123,high
Comedy,3,viral-high,7297370558558211371,high,7288016476928216363,viral
Comedy,4,viral-high,7311427137628605738,high,7288016476928216363,viral
Comedy,5,viral-high,7356348696285482282,high,7288016476928216363,viral
Comedy,6,viral-high,7288016476928216363,viral,7354933754755845418,high
Comedy,7,viral-high,7354048737544506657,high,7288016476928216363,viral
Comedy,8,viral-high,7288016476928216363,viral,7353852457929280810,high
Comedy,9,viral-high,7288016476928216363,viral,7339406908924890369,high
Comedy,10,viral-high,7288016476928216363,viral,7348770590053944577,high
Comedy,11,viral-high,7288016476928216363,viral,7348573721084349742,high
Comedy,12,viral-high,7288016476928216363,viral,7353414299001310495,high
Comedy,13,viral-high,7288016476928216363,viral,7352981264670100782,high
Comedy,14,viral-medium,7288016476928216363,viral,7280563062678113537,medium
Comedy,15,viral-medium,7288016476928216363,viral,7287330797407702303,medium
Comedy,16,viral-medium,7312271032906190123,medium,7288016476928216363,viral
Comedy,17,viral-medium,7288016476928216363,viral,7330000273399745835,medium
Comedy,18,viral-medium,7352002535462505774,medium,7288016476928216363,viral
Comedy,19,viral-medium,7288016476928216363,viral,7351670946459159851,medium
Comedy,20,viral-medium,7351144574661774635,medium,7288016476928216363,viral
Comedy,21,viral-medium,7350918067708300587,medium,7288016476928216363,viral
Comedy,22,viral-medium,7340687233269140779,medium,7288016476928216363,viral
Comedy,23,viral-medium,7288016476928216363,viral,7338552968515439905,medium
Comedy,24,viral-medium,7348942217689451806,medium,7288016476928216363,viral
Comedy,25,viral-medium,7341796912883862814,medium,7288016476928216363,viral
Comedy,26,viral-low,7208612613729701162,low,7288016476928216363,viral
Comedy,27,viral-low,7288016476928216363,viral,7325810109223800110,low
Comedy,28,viral-low,7350772960304844078,low,7288016476928216363,viral
Comedy,29,viral-low,7288016476928216363,viral,7350708324125445408,low
Comedy,30,viral-low,7321819022452968734,low,7288016476928216363,viral
Comedy,31,viral-low,7288016476928216363,viral,7348972113509813547,low
Comedy,32,viral-low,7348132530765303083,low,7288016476928216363,viral
Comedy,33,viral-low,7336724718667451690,low,7288016476928216363,viral
Comedy,34,viral-low,7347043177376795937,low,7288016476928216363,viral
Comedy,35,viral-low,7288016476928216363,viral,7345739405945998610,low
Comedy,36,viral-low,7288016476928216363,viral,7343760551085935914,low
Comedy,37,viral-low,7331211859476876575,low,7288016476928216363,viral
Comedy,38,viral-low,7343116185057217823,low,7288016476928216363,viral
Comedy,39,viral-very_low,7269888512764267808,very_low,7288016476928216363,viral
Comedy,40,viral-very_low,7288016476928216363,viral,7278423335225003296,very_low
Comedy,41,viral-very_low,7288016476928216363,viral,7292882113014123819,very_low
Comedy,42,viral-very_low,7288016476928216363,viral,7296967605263338784,very_low
Comedy,43,viral-very_low,7288016476928216363,viral,7312852220582661419,very_low
Comedy,44,viral-very_low,7311356836651732266,very_low,7288016476928216363,viral
Comedy,45,viral-very_low,7288016476928216363,viral,7350028979115429163,very_low
Comedy,46,viral-very_low,7355510634924018986,very_low,7288016476928216363,viral
Comedy,47,viral-very_low,7288016476928216363,viral,7340853821226175787,very_low
