"","pair_level","pair_id","prediction","user_pref_1","user_pref_2","user_pref_3","user_pref_4","user_pref_5","user_pref_6","user_pref_7","user_pref_8","user_pref_9","user_pref_10","user_pref_11","user_pref_12","user_pref_13","user_pref_14","user_pref_15","user_pref_16","user_pref_17"
"1","H-L",313,"vid1","vid1","vid2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","H-L",314,"vid2","vid2","vid1","vid1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","H-L",315,"vid1","vid1","vid1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","H-L",316,"vid1","vid1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","H-L",318,"vid1","vid1","vid1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","H-L",320,"vid1","vid1","vid2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","H-L",321,"vid2","vid2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","H-L",322,"vid1","vid1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","H-L",323,"vid2","vid1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","H-L",324,"vid1","vid2","vid2","vid2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","H-L",359,"vid2","vid1","vid2","vid1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","H-L",360,"vid2","vid2","vid1","vid2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","H-L",361,"vid1","vid1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","H-L",362,"vid2","vid2","vid1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","H-L",365,"vid1","vid2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","H-L",366,"vid1","vid2","vid2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","H-L",368,"vid1","vid2","vid2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","H-L",369,"vid1","vid2","vid2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","H-L",370,"vid2","vid1","vid2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","H-L",404,"vid2","vid2","vid1","vid2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","H-L",405,"vid1","vid1","vid1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","H-L",406,"vid1","vid1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","H-L",408,"vid1","vid2","vid2","vid1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","H-L",413,"vid1","vid2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","H-L",416,"vid1","vid1","vid1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","H-L",450,"vid2","vid1","vid1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","H-L",452,"vid1","vid1","vid1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","H-L",453,"vid1","vid2","vid2","vid1","vid2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","H-L",455,"vid1","vid1","vid1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","H-L",456,"vid1","vid2","vid1","vid1","vid1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","H-L",458,"vid1","vid2","vid1","vid2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","H-L",459,"vid1","vid2","vid2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","H-L",460,"vid1","vid2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","H-L",461,"vid1","vid2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","H-L",462,"vid2","vid1","vid2","vid1","vid2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","H-L",496,"vid2","vid1","vid1","vid1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","H-L",497,"vid2","vid2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","H-L",499,"vid1","vid1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","H-L",500,"vid1","vid1","vid2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","H-L",501,"vid2","vid1","vid2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","H-L",503,"vid1","vid1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","H-L",504,"vid1","vid2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","H-L",505,"vid1","vid2","vid2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","H-L",506,"vid1","vid1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","H-L",542,"vid2","vid1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","H-L",544,"vid1","vid1","vid1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","H-L",545,"vid1","vid2","vid1","vid2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","H-L",546,"vid2","vid1","vid2","vid2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","H-L",547,"vid2","vid2","vid2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","H-L",548,"vid1","vid1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","H-L",549,"vid1","vid2","vid1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","H-L",550,"vid1","vid1","vid1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","H-L",551,"vid2","vid2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","H-L",552,"vid2","vid1","vid1","vid1","vid2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","H-L",553,"vid2","vid1","vid2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","H-L",588,"vid1","vid1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","H-L",590,"vid1","vid1","vid1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","H-L",592,"vid1","vid2","vid1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","H-L",593,"vid1","vid1","vid1","vid1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","H-L",594,"vid2","vid2","vid2","vid2","vid1","vid2","vid2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","H-L",595,"vid2","vid2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","H-L",598,"vid1","vid1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
